CPT_CODE,DESCRIPTION,NON_FACILITY_PRICE,FACILITY_PRICE,SOURCE
00222,Anesth head nerve surgery,0.0,0.0,master_cleaned
00300,Anesth head/neck/ptrunk,0.0,0.0,master_cleaned
0031A,Adm sarscov2 vac ad26 .5ml,0.0,0.0,master_cleaned
00320,Anesth neck organ 1yr/>,0.0,0.0,master_cleaned
00322,Anesth biopsy of thyroid,0.0,0.0,master_cleaned
00326,Anesth larynx/trach < 1 yr,0.0,0.0,master_cleaned
0034A,Adm sarscov2 vac ad26 .5ml b,0.0,0.0,master_cleaned
00350,Anesth neck vessel surgery,0.0,0.0,master_cleaned
00352,Anesth neck vessel surgery,0.0,0.0,master_cleaned
00400,Anesth skin ext/per/atrunk,0.0,0.0,master_cleaned
00402,Anesth surgery of breast,0.0,0.0,master_cleaned
00404,Anesth surgery of breast,0.0,0.0,master_cleaned
00406,Anesth surgery of breast,0.0,0.0,master_cleaned
00410,Anesth correct heart rhythm,0.0,0.0,master_cleaned
0041A,Adm sarscov2 5mcg/0.5ml 1st,0.0,0.0,master_cleaned
0042A,Adm sarscov2 5mcg/0.5ml 2nd,0.0,0.0,master_cleaned
0042T,Ct perfusion w/contrast cbf,0.0,0.0,master
0044A,Adm sarscov2 5mcg/0.5ml bst,0.0,0.0,master_cleaned
00450,Anesth surgery of shoulder,0.0,0.0,master_cleaned
00454,Anesth collar bone biopsy,0.0,0.0,master_cleaned
00470,Anesth removal of rib,0.0,0.0,master_cleaned
00472,Anesth chest wall repair,0.0,0.0,master_cleaned
00474,Anesth surgery of rib,0.0,0.0,master_cleaned
00500,Anesth esophageal surgery,0.0,0.0,master_cleaned
0051A,Adm sarscv2 30mcg trs-sucr 1,0.0,0.0,master_cleaned
00520,Anesth chest procedure,0.0,0.0,master_cleaned
00522,Anesth chest lining biopsy,0.0,0.0,master_cleaned
00524,Anesth chest drainage,0.0,0.0,master_cleaned
00528,Anes mediascpy & dx thorscpy,0.0,0.0,master_cleaned
00529,Anes medscpy&thorscpy 1 lung,0.0,0.0,master_cleaned
0052A,Adm sarscv2 30mcg trs-sucr 2,0.0,0.0,master_cleaned
00530,Anesth pacemaker insertion,0.0,0.0,master_cleaned
00532,Anesth vascular access,0.0,0.0,master_cleaned
00534,Anesth cardioverter/defib,0.0,0.0,master_cleaned
00537,Anesth cardiac electrophys,0.0,0.0,master_cleaned
00539,Anesth trach-bronch reconst,0.0,0.0,master_cleaned
0053A,Adm sarscv2 30mcg trs-sucr 3,0.0,0.0,master_cleaned
00540,Anesth chest surgery,0.0,0.0,master_cleaned
00541,Anesth one lung ventilation,0.0,0.0,master_cleaned
00542,Anesthesia removal pleura,0.0,0.0,master_cleaned
00546,Anesth lung chest wall surg,0.0,0.0,master_cleaned
00548,Anesth trachea bronchi surg,0.0,0.0,master_cleaned
0054A,Adm sarscv2 30mcg trs-sucr b,0.0,0.0,master_cleaned
0054T,Bone srgry cmptr fluor image,0.0,0.0,cms_pfs
00550,Anesth sternal debridement,0.0,0.0,master_cleaned
0055T,Bone srgry cmptr ct/mri imag,0.0,0.0,cms_pfs
00560,Anesth heart surg w/o pump,0.0,0.0,master_cleaned
00561,Anesth heart surg <1 yr,0.0,0.0,master_cleaned
00562,Anesth hrt surg w/pmp age 1+,0.0,0.0,master_cleaned
00563,Anesth heart surg w/arrest,0.0,0.0,master_cleaned
