cpt_code,description,NON_FACILITY_PRICE,FACILITY_PRICE
0076T,S&i stent/chest vert art,0.0,33.28
00770,Anes px maj abd blood vessel,0.0,299.52
00790,Anes iper upr abd nos,0.0,299.52
00792,Anes iper upr abd prtl hptc,0.0,299.52
00794,Anes iper upr abd pncrtect,0.0,299.52
00796,Anes iper upr abd lvr trnspl,0.0,299.52
00797,Anes iper upr abd gstr px mo,0.0,299.52
00800,Anesth abdominal wall surg,0.0,299.52
00802,Anesth fat layer removal,0.0,299.52
00811,Anes lwr intst ndsc nos,0.0,299.52
00812,Anes lwr intst scr colsc,0.0,299.52
00813,Anes upr lwr gi ndsc px,0.0,299.52
0081A,Adm sarscv2 3mcg trs-sucr 1,0.0,299.52
00820,Anesth abdominal wall surg,0.0,299.52
0082A,Adm sarscv2 3mcg trs-sucr 2,0.0,299.52
00830,Anesth repair of hernia,0.0,299.52
00832,Anesth repair of hernia,0.0,299.52
00834,Anesth hernia repair < 1 yr,0.0,299.52
00836,Anesth hernia repair preemie,0.0,299.52
0083A,Adm sarscv2 3mcg trs-sucr 3,0.0,299.52
00840,Anesth surg lower abdomen,0.0,299.52
00842,Anesth amniocentesis,0.0,299.52
00844,Anesth pelvis surgery,0.0,299.52
00846,Anesth hysterectomy,0.0,299.52
00848,Anesth pelvic organ surg,0.0,299.52
00851,Anesth tubal ligation,0.0,299.52
0085T,Breath test heart reject,0.0,299.52
00860,Anesth surgery of abdomen,0.0,299.52
00862,Anesth kidney/ureter surg,0.0,299.52
00864,Anesth removal of bladder,0.0,299.52
00865,Anesth removal of prostate,0.0,299.52
00866,Anesth removal of adrenal,0.0,299.52
00868,Anesth kidney transplant,0.0,299.52
00870,Anesth bladder stone surg,0.0,299.52
00872,Anesth kidney stone destruct,0.0,299.52
00873,Anesth kidney stone destruct,0.0,299.52
00880,Anesth abdomen vessel surg,0.0,299.52
00882,Anesth major vein ligation,0.0,299.52
00902,Anesth anorectal surgery,0.0,299.52
00904,Anesth perineal surgery,0.0,299.52
00906,Anes vulvectomy,0.0,299.52
00908,Anesth removal of prostate,0.0,299.52
00910,Anesth bladder surgery,0.0,299.52
00912,Anesth bladder tumor surg,0.0,299.52
00914,Anesth removal of prostate,0.0,299.52
00916,Anesth bleeding control,0.0,299.52
00918,Anesth stone removal,0.0,299.52
0091A,Adm sarscov2 50 mcg/.5 ml1st,0.0,299.52
00920,Anesth genitalia surgery,0.0,299.52
00921,Anesth vasectomy,0.0,299.52
00922,Anesth sperm duct surgery,0.0,299.52
00924,Anesth testis exploration,0.0,299.52
00926,Anesth removal of testis,0.0,299.52
00928,Anesth removal of testis,0.0,299.52
0092A,Adm sarscov2 50 mcg/.5 ml2nd,0.0,299.52
00930,Anesth testis suspension,0.0,299.52
00932,Anesth amputation of penis,0.0,299.52
00934,Anesth penis nodes removal,0.0,299.52
